target,model_stem,feature_count,train_rows,test_rows,train_pos,train_neg,test_pos,test_neg,class_weight_0,class_weight_1,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,logloss,brier,tn,fp,fn,tp
general,general,98,8004,3944,5786,2218,2873,1071,1.0,0.38333909436571034,0.7914590363352674,0.9000588581309326,0.7644523326572008,0.7168023027751536,0.8503965392934391,0.8210929342151062,0.835487869665309,0.502874277689431,0.16503371872587566,656,415,514,2359
инсульт,stroke,108,8004,3944,355,7649,134,3810,1.0,21.546478873239437,0.7013740353351352,0.0639836569251099,0.8156693711967545,0.6129842911427116,0.07582260371959942,0.39552238805970147,0.12725090036014405,0.4174942707268202,0.13287932613973744,3164,646,81,53
сн,heart_failure,108,8004,3944,503,7501,264,3680,1.0,14.912524850894632,0.9098031949934123,0.5930124263309083,0.9480223123732252,0.8262269433465086,0.5973597359735974,0.6856060606060606,0.6384479717813051,0.1807242027412448,0.04678388288831948,3558,122,83,181
нарушение ритма или ибс,arrhythmia_or_ihd,108,8004,3944,1014,6990,540,3404,1.0,6.893491124260355,0.7245490055272664,0.48377256968918503,0.841024340770791,0.6749695347521434,0.4235500878734622,0.4462962962962963,0.43462578899909826,0.5325142633797437,0.1730238608164879,3076,328,299,241
стенокардия,angina,108,8004,3944,1003,7001,502,3442,1.0,6.980059820538385,0.9617659518810291,0.8681912500838753,0.9414300202839757,0.911145076868586,0.724709784411277,0.8705179282868526,0.7909502262443439,0.18692859505816575,0.05091433775681586,3276,166,65,437
им,mi,108,8004,3944,589,7415,307,3637,1.0,12.589134125636672,0.9664057161332271,0.875076285331256,0.9396551724137931,0.9314922005912809,0.5694164989939637,0.9218241042345277,0.7039800995024875,0.2180439215478196,0.05449431515244157,3423,214,24,283
аг,ah,108,8004,3944,5448,2556,2747,1197,1.0,0.46916299559471364,0.7945467357265874,0.8834245780736828,0.7390973630831643,0.7252622212003739,0.8491869918699188,0.7604659628685839,0.802381409640868,0.5416302581288044,0.18016562201415925,826,371,658,2089
